video_id,youtube_url,category_1,category_2,rank,task_id,status,error
3BHSVTLfUD4,https://www.youtube.com/watch?v=3BHSVTLfUD4,Arts and Entertainment,Music,110,82226,ok,
ta_l4993t5o,https://www.youtube.com/watch?v=ta_l4993t5o,Arts and Entertainment,Music,172,105231,ok,
DKr_e4PzrQ4,https://www.youtube.com/watch?v=DKr_e4PzrQ4,Arts and Entertainment,Music,60,105313,ok,
gKxGSs_NbaQ,https://www.youtube.com/watch?v=gKxGSs_NbaQ,Arts and Entertainment,Music,127,83580,ok,
EE1ancOnwMM,https://www.youtube.com/watch?v=EE1ancOnwMM,Arts and Entertainment,Movies,179,102203,ok,
1OPq4otF3DQ,https://www.youtube.com/watch?v=1OPq4otF3DQ,Arts and Entertainment,Books,24,107853,failed,ERROR: [youtube] 1OPq4otF3DQ: Video unavailable
BhqEhvTatoQ,https://www.youtube.com/watch?v=BhqEhvTatoQ,Arts and Entertainment,Costumes,82,37366,ok,
FAHY6dW53As,https://www.youtube.com/watch?v=FAHY6dW53As,Arts and Entertainment,Performing Arts,134,12748,ok,
GN4JK71eALg,https://www.youtube.com/watch?v=GN4JK71eALg,Arts and Entertainment,Music,174,80107,ok,
QmqieNjkrrY,https://www.youtube.com/watch?v=QmqieNjkrrY,Arts and Entertainment,Music,149,80105,ok,
uRyHItC2278,https://www.youtube.com/watch?v=uRyHItC2278,Arts and Entertainment,Books,39,25340,ok,
cgLftNVCCII,https://www.youtube.com/watch?v=cgLftNVCCII,Arts and Entertainment,Music,17,83699,ok,
cs4qLsoRAGU,https://www.youtube.com/watch?v=cs4qLsoRAGU,Arts and Entertainment,Music,136,105313,ok,
wfzYcMQxji0,https://www.youtube.com/watch?v=wfzYcMQxji0,Arts and Entertainment,Costumes,184,37408,ok,
gSgjxCjiY6c,https://www.youtube.com/watch?v=gSgjxCjiY6c,Arts and Entertainment,Costumes,67,37363,ok,
_dvGdbjMdos,https://www.youtube.com/watch?v=_dvGdbjMdos,Arts and Entertainment,Music,8,66059,ok,
89jTjeCp7e4,https://www.youtube.com/watch?v=89jTjeCp7e4,Arts and Entertainment,Books,121,30994,ok,
8PEQk-DIwAA,https://www.youtube.com/watch?v=8PEQk-DIwAA,Arts and Entertainment,Music,53,105231,ok,
x6a_4xE-e5I,https://www.youtube.com/watch?v=x6a_4xE-e5I,Arts and Entertainment,Music,173,80075,ok,
-GlwYOCfkpI,https://www.youtube.com/watch?v=-GlwYOCfkpI,Arts and Entertainment,Music,14,25340,ok,
Bli94MeINt4,https://www.youtube.com/watch?v=Bli94MeINt4,Arts and Entertainment,Music,22,82226,ok,
HPm28m7Ab0U,https://www.youtube.com/watch?v=HPm28m7Ab0U,Arts and Entertainment,Music,94,57281,ok,
0TDCkZTirMw,https://www.youtube.com/watch?v=0TDCkZTirMw,Arts and Entertainment,Costumes,40,37419,ok,
zzk_4rZpB84,https://www.youtube.com/watch?v=zzk_4rZpB84,Arts and Entertainment,Music,113,43003,failed,ERROR: [youtube] zzk_4rZpB84: Video unavailable
NEGqhYaFxGk,https://www.youtube.com/watch?v=NEGqhYaFxGk,Arts and Entertainment,Costumes,108,37397,ok,
YVUHGjiP5ro,https://www.youtube.com/watch?v=YVUHGjiP5ro,Arts and Entertainment,Performing Arts,105,48627,ok,
rqz4OG2oz1g,https://www.youtube.com/watch?v=rqz4OG2oz1g,Arts and Entertainment,Music,15,9037,failed,ERROR: [youtube] rqz4OG2oz1g: This video has been removed for violating YouTube's Terms of Service
o4JWxFp8aUc,https://www.youtube.com/watch?v=o4JWxFp8aUc,Arts and Entertainment,Music,20,80941,ok,
y3nQVcisW-A,https://www.youtube.com/watch?v=y3nQVcisW-A,Arts and Entertainment,Costumes,138,37419,ok,
qYyZXfAuJ0c,https://www.youtube.com/watch?v=qYyZXfAuJ0c,Arts and Entertainment,Books,172,30994,ok,
BF1hzMhx9oc,https://www.youtube.com/watch?v=BF1hzMhx9oc,Arts and Entertainment,Music,21,43030,ok,
MX5iPQqt298,https://www.youtube.com/watch?v=MX5iPQqt298,Arts and Entertainment,Music,27,66059,ok,
EJJC-l4f8Fc,https://www.youtube.com/watch?v=EJJC-l4f8Fc,Arts and Entertainment,Music,21,50520,ok,
6UG6Q6QaOm8,https://www.youtube.com/watch?v=6UG6Q6QaOm8,Arts and Entertainment,Costumes,32,37408,ok,
C-PRiNUvPeY,https://www.youtube.com/watch?v=C-PRiNUvPeY,Arts and Entertainment,Music,67,67557,ok,
yfmrmlnG_p8,https://www.youtube.com/watch?v=yfmrmlnG_p8,Arts and Entertainment,Music,119,25349,ok,
84fP22oely8,https://www.youtube.com/watch?v=84fP22oely8,Arts and Entertainment,Music,58,115236,ok,
WowZ753WTPI,https://www.youtube.com/watch?v=WowZ753WTPI,Arts and Entertainment,Books,129,107853,ok,
Am1-uFCNcgQ,https://www.youtube.com/watch?v=Am1-uFCNcgQ,Arts and Entertainment,Music,8,80938,ok,
Fvh0XuUwM-Y,https://www.youtube.com/watch?v=Fvh0XuUwM-Y,Arts and Entertainment,Carnivals Circuses and Theme Parks,145,33155,ok,
fr0G1dcX1Uk,https://www.youtube.com/watch?v=fr0G1dcX1Uk,Arts and Entertainment,Music,31,80940,ok,
p32uUdhxwFw,https://www.youtube.com/watch?v=p32uUdhxwFw,Arts and Entertainment,Books,126,107853,failed,ERROR: [youtube] p32uUdhxwFw: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
6fV_6G_YFzE,https://www.youtube.com/watch?v=6fV_6G_YFzE,Arts and Entertainment,Music,75,105351,ok,
lufNby3_Fok,https://www.youtube.com/watch?v=lufNby3_Fok,Arts and Entertainment,Music,11,80938,ok,
93GOclt9ScI,https://www.youtube.com/watch?v=93GOclt9ScI,Arts and Entertainment,Music,155,25340,ok,
CaD6XmpfOqY,https://www.youtube.com/watch?v=CaD6XmpfOqY,Arts and Entertainment,Carnivals Circuses and Theme Parks,125,43824,failed,ERROR: [youtube] CaD6XmpfOqY: Video unavailable
ux_Em1lVsjI,https://www.youtube.com/watch?v=ux_Em1lVsjI,Arts and Entertainment,Movies,21,1687,ok,
nswBQ76vJTo,https://www.youtube.com/watch?v=nswBQ76vJTo,Arts and Entertainment,Music,2,9762,ok,
hyogJlY1zCs,https://www.youtube.com/watch?v=hyogJlY1zCs,Arts and Entertainment,Music,55,82227,failed,ERROR: [youtube] hyogJlY1zCs: Video unavailable
hDjnF1cI-p8,https://www.youtube.com/watch?v=hDjnF1cI-p8,Arts and Entertainment,Music,134,80105,failed,ERROR: [youtube] hDjnF1cI-p8: Video unavailable
hUW6KARo8Y4,https://www.youtube.com/watch?v=hUW6KARo8Y4,Arts and Entertainment,Books,111,107854,ok,
A3biQe5RHdg,https://www.youtube.com/watch?v=A3biQe5RHdg,Arts and Entertainment,Books,9,107854,ok,
y0C9w3VZ3Og,https://www.youtube.com/watch?v=y0C9w3VZ3Og,Arts and Entertainment,Music,3,75176,ok,
Wmfnh_sN9Z0,https://www.youtube.com/watch?v=Wmfnh_sN9Z0,Arts and Entertainment,Music,91,80105,ok,
gfW-F7gHQT8,https://www.youtube.com/watch?v=gfW-F7gHQT8,Arts and Entertainment,Books,90,23146,failed,ERROR: [youtube] gfW-F7gHQT8: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
1qRpus8fC0w,https://www.youtube.com/watch?v=1qRpus8fC0w,Arts and Entertainment,Music,103,52978,ok,
IupFip82QxU,https://www.youtube.com/watch?v=IupFip82QxU,Arts and Entertainment,Music,174,9037,ok,
g9t83jbJbqU,https://www.youtube.com/watch?v=g9t83jbJbqU,Arts and Entertainment,Costumes,85,34058,ok,
wQhycJsKSPE,https://www.youtube.com/watch?v=wQhycJsKSPE,Arts and Entertainment,Music,148,77978,ok,
4SuM98ZZBKw,https://www.youtube.com/watch?v=4SuM98ZZBKw,Arts and Entertainment,Costumes,117,43999,ok,
jvGkatjLxa4,https://www.youtube.com/watch?v=jvGkatjLxa4,Arts and Entertainment,Books,114,25060,failed,ERROR: [youtube] jvGkatjLxa4: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
O8DH0UFvDLo,https://www.youtube.com/watch?v=O8DH0UFvDLo,Arts and Entertainment,Music,105,136,failed,ERROR: [youtube] O8DH0UFvDLo: This video is not available
HZSYmZq7q9s,https://www.youtube.com/watch?v=HZSYmZq7q9s,Arts and Entertainment,Music,115,43003,ok,
k16hsnFjkB8,https://www.youtube.com/watch?v=k16hsnFjkB8,Arts and Entertainment,Books,167,10600,failed,ERROR: [youtube] k16hsnFjkB8: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
uu9_MNi7wvw,https://www.youtube.com/watch?v=uu9_MNi7wvw,Arts and Entertainment,Music,170,25351,ok,
zvreptzRkEo,https://www.youtube.com/watch?v=zvreptzRkEo,Arts and Entertainment,Books,29,25647,failed,ERROR: [youtube] zvreptzRkEo: Private video. Sign in if you've been granted access to this video. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
gNpyCG32aGI,https://www.youtube.com/watch?v=gNpyCG32aGI,Arts and Entertainment,Music,118,47063,ok,
stfH9dISdLs,https://www.youtube.com/watch?v=stfH9dISdLs,Arts and Entertainment,Music,111,50531,ok,
a3Sta6tTNvc,https://www.youtube.com/watch?v=a3Sta6tTNvc,Arts and Entertainment,Music,74,25359,ok,
vC5pEBvHqyQ,https://www.youtube.com/watch?v=vC5pEBvHqyQ,Arts and Entertainment,Music,45,80084,ok,
0qoxlpUUo0o,https://www.youtube.com/watch?v=0qoxlpUUo0o,Arts and Entertainment,Books,11,107853,ok,
PtZNxlj8h9s,https://www.youtube.com/watch?v=PtZNxlj8h9s,Arts and Entertainment,Books,141,25067,ok,
V8cYh96ASCg,https://www.youtube.com/watch?v=V8cYh96ASCg,Arts and Entertainment,Books,131,25087,ok,
bsMJ0ujDlfY,https://www.youtube.com/watch?v=bsMJ0ujDlfY,Arts and Entertainment,Music,93,25360,ok,
zfd_60aNfmQ,https://www.youtube.com/watch?v=zfd_60aNfmQ,Arts and Entertainment,Books,21,25061,ok,
tdzuF0r6MzA,https://www.youtube.com/watch?v=tdzuF0r6MzA,Arts and Entertainment,Books,45,30994,ok,
